Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Kothagudem to Hyderabad,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,BSR Tours And Travels,A/C Seater / Sleeper (2+1),23:15,06h 45m,06:00,4.8,INR 580,27 Seats available
Kothagudem to Hyderabad,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,SAIRAJ TRAVELS,A/C Sleeper (2+1),23:00,06h 30m,05:30,4.6,INR 650,21 Seats available
Kothagudem to Hyderabad,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),23:20,05h 40m,05:00,4.4,INR 390,18 Seats available
Kothagudem to Hyderabad,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,SAIRAJ TRAVELS,NON A/C Seater (2+2),23:00,07h 15m,06:15,4.4,INR 350,30 Seats available
Kothagudem to Hyderabad,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Bharathi Tours & Travels,A/C Sleeper (2+1),23:00,06h 00m,05:00,4.9,INR 690,23 Seats available
Kothagudem to Hyderabad,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),23:05,05h 55m,05:00,4.0,INR 500,25 Seats available
Kothagudem to Hyderabad,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,VSR Tours and Travels,A/C Sleeper (2+1),23:30,06h 30m,06:00,4.8,INR 649,24 Seats available
Kothagudem to Hyderabad,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Morning Star Travels,A/C Sleeper (2+1),23:15,05h 05m,04:20,3.0,INR 590,22 Seats available
Kothagudem to Hyderabad,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Bharathi Tours & Travels,A/C Sleeper (2+1),23:30,06h 00m,05:30,5.0,INR 690,21 Seats available
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur,TGSRTC - 9570,Super Luxury (Non AC Seater 2+2 Push Back),18:00,05h 20m,23:20,3.3,INR 450,5 Seats available
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur,TGSRTC - 7771,Super Luxury (Non AC Seater 2+2 Push Back),20:45,07h 45m,04:30,2.7,INR 725,11 Seats available
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur,TGSRTC - 1763,Super Luxury (Non AC Seater 2+2 Push Back),21:30,06h 50m,04:20,4.0,INR 681,6 Seats available
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur,TGSRTC - 7769,Super Luxury (Non AC Seater 2+2 Push Back),21:50,07h 30m,05:20,2.7,INR 720,12 Seats available
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur,TGSRTC - 1541,Super Luxury (Non AC Seater 2+2 Push Back),22:40,06h 20m,05:00,4.3,INR 600,6 Seats available
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur,TGSRTC - 7773,Lahari Non A/C Sleeper Cum Seater,23:10,07h 10m,06:20,2.9,INR 799,1 Seat available
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Zingbus Plus,A/C Seater / Sleeper (2+1),23:38,07h 12m,06:50,4.5,1109,22 Seats available
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur,IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),23:30,07h 45m,07:15,4.5,INR 1469,11 Seats available
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur,GMRK Tours and Travels,Volvo A/C Semi Sleeper (2+2),23:30,06h 40m,06:10,4.4,INR 899,7 Seats available
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur,NueGo,Electric A/C Seater (2+2),22:35,08h 00m,06:35,4.4,808,10 Seats available
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur,IntrCity SmartBus,AC Sleeper (2+1),23:10,07h 40m,06:50,4.3,INR 1149,12 Seats available
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Pavan Tours and Travels,A/C Sleeper (2+1),22:30,07h 40m,06:10,4.5,1129,7 Seats available
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Sri Sanvi Tours and Travels,A/C Sleeper (2+1),22:15,07h 15m,05:30,4.2,1169,5 Seats available
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Sri KVR Travels,A/C Sleeper (2+1),22:30,07h 00m,05:30,4.3,INR 1199,6 Seats available
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:30,07h 15m,06:45,4.2,INR 1489,7 Seats available
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur,IntrCity SmartBus,AC Sleeper (2+1),23:50,07h 35m,07:25,4.4,INR 1289,13 Seats available
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Svkdt travels,A/C Sleeper (2+1),22:20,08h 10m,06:30,4.2,INR 1189,14 Seats available
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur,IntrCity SmartBus,AC Sleeper (2+1),23:40,07h 00m,06:40,4.1,INR 1759,9 Seats available
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Svkdt travels,A/C Sleeper (2+1),22:30,08h 25m,06:55,4.1,INR 1189,8 Seats available
